ep,type,text,status
1,伏線,第1話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
1,伏線,第1話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
2,伏線,第2話クリフ: 足元の大地が突如として光の亀裂を走らせ、底知れぬ奈落へと崩落し始めた。,未回収
3,伏線,第3話クリフ: 手にした通信水晶から、絶体絶命の悲鳴と共に通信が途絶した。,未回収
1,伏線,謎の黒い結晶の欠片,回収
2,回収,第1話の伏線回収: 謎の黒い結晶...,回収
1,伏線,第1話クリフ: 守るべき拠点の防壁に、何者かが内側から結界解除の鍵を差し込んだ。,未回収
1,伏線,第1話クリフ: 敵の仮面が割れ、覗いた素顔は幼き日に生き別れた肉親その人だった。,未回収
2,伏線,第2話クリフ: 頼みの光術が完全に吸い尽くされ、闇の巨影が頭上から静かに眼を見開いた。,未回収
3,伏線,第3話クリフ: 懐の古文書に、予告されていなかった第十三の災厄の紋章が浮かび上がった。,未回収
1,伏線,謎の黒い結晶の欠片,回収
2,回収,第1話の伏線回収: 謎の黒い結晶...,回収
1,伏線,第1話クリフ: 信じて背中を預けていた仲間の切っ先が、ゆっくりとこちらに向けられていた。,未回収
1,伏線,第1話クリフ: 夜空を覆う雲が晴れた瞬間、天頂に第二の不吉な月が冷たく輝いていた。,未回収
2,伏線,第2話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
3,伏線,第3話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
1,伏線,謎の黒い結晶の欠片,回収
2,回収,第1話の伏線回収: 謎の黒い結晶...,回収
4,伏線,第4話クリフ: 足元の大地が突如として光の亀裂を走らせ、底知れぬ奈落へと崩落し始めた。,未回収
5,伏線,第5話クリフ: 手にした通信水晶から、絶体絶命の悲鳴と共に通信が途絶した。,未回収
6,伏線,第6話クリフ: 守るべき拠点の防壁に、何者かが内側から結界解除の鍵を差し込んだ。,未回収
7,伏線,第7話クリフ: 敵の仮面が割れ、覗いた素顔は幼き日に生き別れた肉親その人だった。,未回収
8,伏線,第8話クリフ: 頼みの光術が完全に吸い尽くされ、闇の巨影が頭上から静かに眼を見開いた。,未回収
9,伏線,第9話クリフ: 懐の古文書に、予告されていなかった第十三の災厄の紋章が浮かび上がった。,未回収
10,伏線,第10話クリフ: 信じて背中を預けていた仲間の切っ先が、ゆっくりとこちらに向けられていた。,未回収
11,伏線,第11話クリフ: 夜空を覆う雲が晴れた瞬間、天頂に第二の不吉な月が冷たく輝いていた。,未回収
12,伏線,第12話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
13,伏線,第13話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
14,伏線,第14話クリフ: 足元の大地が突如として光の亀裂を走らせ、底知れぬ奈落へと崩落し始めた。,未回収
15,伏線,第15話クリフ: 手にした通信水晶から、絶体絶命の悲鳴と共に通信が途絶した。,未回収
16,伏線,第16話クリフ: 守るべき拠点の防壁に、何者かが内側から結界解除の鍵を差し込んだ。,未回収
17,伏線,第17話クリフ: 敵の仮面が割れ、覗いた素顔は幼き日に生き別れた肉親その人だった。,未回収
18,伏線,第18話クリフ: 頼みの光術が完全に吸い尽くされ、闇の巨影が頭上から静かに眼を見開いた。,未回収
19,伏線,第19話クリフ: 懐の古文書に、予告されていなかった第十三の災厄の紋章が浮かび上がった。,未回収
20,伏線,第20話クリフ: 信じて背中を預けていた仲間の切っ先が、ゆっくりとこちらに向けられていた。,未回収
21,伏線,第21話クリフ: 夜空を覆う雲が晴れた瞬間、天頂に第二の不吉な月が冷たく輝いていた。,未回収
22,伏線,第22話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
23,伏線,第23話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
24,伏線,第24話クリフ: 足元の大地が突如として光の亀裂を走らせ、底知れぬ奈落へと崩落し始めた。,未回収
25,伏線,第25話クリフ: 手にした通信水晶から、絶体絶命の悲鳴と共に通信が途絶した。,未回収
26,伏線,第26話クリフ: 守るべき拠点の防壁に、何者かが内側から結界解除の鍵を差し込んだ。,未回収
27,伏線,第27話クリフ: 敵の仮面が割れ、覗いた素顔は幼き日に生き別れた肉親その人だった。,未回収
28,伏線,第28話クリフ: 頼みの光術が完全に吸い尽くされ、闇の巨影が頭上から静かに眼を見開いた。,未回収
29,伏線,第29話クリフ: 懐の古文書に、予告されていなかった第十三の災厄の紋章が浮かび上がった。,未回収
30,伏線,第30話クリフ: 信じて背中を預けていた仲間の切っ先が、ゆっくりとこちらに向けられていた。,未回収
31,伏線,第31話クリフ: 夜空を覆う雲が晴れた瞬間、天頂に第二の不吉な月が冷たく輝いていた。,未回収
32,伏線,第32話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
33,伏線,第33話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
34,伏線,第34話クリフ: 足元の大地が突如として光の亀裂を走らせ、底知れぬ奈落へと崩落し始めた。,未回収
35,伏線,第35話クリフ: 手にした通信水晶から、絶体絶命の悲鳴と共に通信が途絶した。,未回収
36,伏線,第36話クリフ: 守るべき拠点の防壁に、何者かが内側から結界解除の鍵を差し込んだ。,未回収
37,伏線,第37話クリフ: 敵の仮面が割れ、覗いた素顔は幼き日に生き別れた肉親その人だった。,未回収
38,伏線,第38話クリフ: 頼みの光術が完全に吸い尽くされ、闇の巨影が頭上から静かに眼を見開いた。,未回収
39,伏線,第39話クリフ: 懐の古文書に、予告されていなかった第十三の災厄の紋章が浮かび上がった。,未回収
40,伏線,第40話クリフ: 信じて背中を預けていた仲間の切っ先が、ゆっくりとこちらに向けられていた。,未回収
41,伏線,第41話クリフ: 夜空を覆う雲が晴れた瞬間、天頂に第二の不吉な月が冷たく輝いていた。,未回収
42,伏線,第42話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
43,伏線,第43話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
44,伏線,第44話クリフ: 足元の大地が突如として光の亀裂を走らせ、底知れぬ奈落へと崩落し始めた。,未回収
45,伏線,第45話クリフ: 手にした通信水晶から、絶体絶命の悲鳴と共に通信が途絶した。,未回収
46,伏線,第46話クリフ: 守るべき拠点の防壁に、何者かが内側から結界解除の鍵を差し込んだ。,未回収
47,伏線,第47話クリフ: 敵の仮面が割れ、覗いた素顔は幼き日に生き別れた肉親その人だった。,未回収
48,伏線,第48話クリフ: 頼みの光術が完全に吸い尽くされ、闇の巨影が頭上から静かに眼を見開いた。,未回収
49,伏線,第49話クリフ: 懐の古文書に、予告されていなかった第十三の災厄の紋章が浮かび上がった。,未回収
50,伏線,第50話クリフ: 信じて背中を預けていた仲間の切っ先が、ゆっくりとこちらに向けられていた。,未回収
1,伏線,第1話クリフ: 夜空を覆う雲が晴れた瞬間、天頂に第二の不吉な月が冷たく輝いていた。,未回収
2,伏線,第2話クリフ: 胸元の光の石が突如として不吉な黒に染まり、脈打ち始めた。,未回収
3,伏線,第3話クリフ: 背後から、死んだはずの男の冷酷な嗤い声が静寂を切り裂いた。,未回収
